Fecha,Precio Cierre,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2018-05-16,10.07999992,0.541,15.53327987672,2.8,0
2018-05-17,10.26000023,0.541,15.81066035443,2.8,1.7857173752834583
2018-05-18,10.26000023,0.541,15.81066035443,2.8,0
2018-05-21,11.52000046,0.541,17.75232070886,2.8,12.280703720802949
2018-05-22,11.15999985,0.541,17.19755976885,2.8,-3.125005170355698
2018-05-23,11.69999981,0.541,18.02969970721,2.8,4.838709384032827
2018-05-24,11.34000015,0.541,17.47494023115,2.8,-3.0769202209072493
2018-05-25,11.34000015,0.541,17.47494023115,2.8,0
2018-05-29,9.539999962,0.541,14.701139941442,2.8,-15.873017320903655
2018-05-30,9.359999657,0.541,14.423759471436998,2.8,-1.8867956574107174
2018-05-31,10.07999992,0.541,15.53327987672,2.8,7.692310784023794
2018-06-01,10.07999992,0.57,15.8255998744,2.8,0
2018-06-04,9.720000267,0.57,15.260400419189995,2.8,-3.5714251573129068
2018-06-05,9.720000267,0.57,15.260400419189995,2.8,0
2018-06-06,9.539999962,0.57,14.977799940339995,2.8,-1.8518549388430803
2018-06-07,9.720000267,0.57,15.260400419189995,2.8,1.8867956574107174
2018-06-08,9.539999962,0.57,14.977799940339995,2.8,-1.8518549388430803
2018-06-11,9.359999657,0.57,14.695199461489995,2.8,-1.8867956574107174
2018-06-12,9.539999962,0.57,14.977799940339995,2.8,1.9230802520957837
2018-06-13,9.539999962,0.57,14.977799940339995,2.8,0
2018-06-14,9.180000305,0.57,14.41260047885,2.8,-3.773581325303568
2018-06-15,10.07999992,0.57,15.8255998744,2.8,9.803917048998404
2018-06-18,9.720000267,0.57,15.260400419189995,2.8,-3.5714251573129068
2018-06-19,9.359999657,0.57,14.695199461489995,2.8,-3.7037098776861606
2018-06-20,9.359999657,0.57,14.695199461489995,2.8,0
2018-06-21,9.359999657,0.57,14.695199461489995,2.8,0
2018-06-22,9.539999962,0.57,14.977799940339995,2.8,1.9230802520957837
2018-06-25,9.359999657,0.57,14.695199461489995,2.8,-1.8867956574107174
2018-06-26,9.539999962,0.57,14.977799940339995,2.8,1.9230802520957837
2018-06-27,9.720000267,0.57,15.260400419189995,2.8,1.8867956574107174
2018-06-28,10.26000023,0.57,16.108200361099996,2.8,5.555555022290821
2018-06-29,10.07999992,0.57,15.8255998744,2.8,-1.7543889470263565
2018-07-02,10.07999992,0.599,16.11791987208,2.9,0
2018-07-03,9.720000267,0.599,15.542280426933,2.9,-3.5714251573129068
2018-07-05,10.07999992,0.599,16.11791987208,2.9,3.7037000320074265
2018-07-06,9.899999619,0.599,15.830099390781,2.9,-1.785717285997754
2018-07-09,10.07999992,0.599,16.11791987208,2.9,1.8181849285584275
2018-07-10,10.43999958,0.599,16.69355932842,2.9,3.57142522675734
2018-07-11,10.07999992,0.599,16.11791987208,2.9,-3.448272744087598
2018-07-12,10.43999958,0.599,16.69355932842,2.9,3.57142522675734
2018-07-13,10.80000019,0.599,17.26920030381,2.9,3.4482818437048266
2018-07-16,10.61999989,0.599,16.98137982411,2.9,-1.6666694151234052
2018-07-17,10.43999958,0.599,16.69355932842,2.9,-1.6949181908136581
2018-07-18,10.43999958,0.599,16.69355932842,2.9,0
2018-07-19,10.26000023,0.599,16.405740367769997,2.9,-1.7241317743424756
2018-07-20,10.61999989,0.599,16.98137982411,2.9,3.508768537327816
2018-07-23,10.26000023,0.599,16.405740367769997,2.9,-3.3898273420792044
2018-07-24,10.43999958,0.599,16.69355932842,2.9,1.754379590301442
2018-07-25,11.15999985,0.599,17.84483976015,2.9,6.896554587792425
2018-07-26,10.97999954,0.599,17.55701926446,2.9,-1.6129060252630782
2018-07-27,10.43999958,0.599,16.69355932842,2.9,-4.918032628624312
2018-07-30,14.76000023,0.599,23.60124036777,2.9,41.37931823556643
2018-07-31,14.93999958,0.599,23.88905932842,2.9,1.2195077723247503
2018-08-01,12.23999977,0.626,19.90223962602,2.9,-18.072288392929124
2018-08-02,13.31999969,0.626,21.65831949594,2.9,8.82352892397153
2018-08-03,13.5,0.626,21.950999999999997,2.9,1.3513537101291067
2018-08-06,13.5,0.626,21.950999999999997,2.9,0
2018-08-07,12.42000008,0.626,20.194920130079996,2.9,-7.999999407407412
2018-08-08,12.06000042,0.626,19.60956068292,2.9,-2.8985479684473536
2018-08-09,12.42000008,0.626,20.194920130079996,2.9,2.9850717036708008
2018-08-10,11.88000011,0.626,19.316880178859996,2.9,-4.347825817405311
2018-08-13,10.97999954,0.626,17.85347925204,2.9,-7.575762303591422
2018-08-14,11.15999985,0.626,18.1461597561,2.9,1.6393471542895939
2018-08-15,10.80000019,0.626,17.56080030894,2.9,-3.2258034483754914
2018-08-16,10.80000019,0.626,17.56080030894,2.9,0
2018-08-17,10.26000023,0.626,16.68276037398,2.9,-4.999999541666686
2018-08-20,10.43999958,0.626,16.97543931708,2.9,1.754379590301442
2018-08-21,11.15999985,0.626,18.1461597561,2.9,6.896554587792425
2018-08-22,10.43999958,0.626,16.97543931708,2.9,-6.451615409295905
2018-08-23,10.43999958,0.626,16.97543931708,2.9,0
2018-08-24,10.43999958,0.626,16.97543931708,2.9,0
2018-08-27,10.80000019,0.626,17.56080030894,2.9,3.4482818437048266
2018-08-28,10.80000019,0.626,17.56080030894,2.9,0
2018-08-29,10.97999954,0.626,17.85347925204,2.9,1.6666606188272597
2018-08-30,11.15999985,0.626,18.1461597561,2.9,1.6393471542895939
2018-08-31,11.15999985,0.626,18.1461597561,2.9,0
2018-09-04,11.15999985,0.649,18.40283975265,2.9,0
2018-09-05,10.61999989,0.649,17.51237981861,2.9,-4.838709384032827
2018-09-06,10.61999989,0.649,17.51237981861,2.9,0
2018-09-07,10.07999992,0.649,16.621919868080003,2.9,-5.084745532892846
2018-09-10,10.26000023,0.649,16.918740379269998,2.9,1.7857173752834583
2018-09-11,10.26000023,0.649,16.918740379269998,2.9,0
2018-09-12,10.07999992,0.649,16.621919868080003,2.9,-1.7543889470263565
2018-09-13,9.720000267,0.649,16.028280440282998,2.9,-3.5714251573129068
